Kupon Sales STC Vol. 8 (2026),,,,,,
,,,,,,
No.,Nama Racer,Jumlah Kupon,Pembayaran,Status,Side Event (GTA),Best Race
Presale (40 Runs),,"Rp175,000",,,,
1,om sandi,1,"Rp175,000",Lunas,1,0
2,papamkz,1,"Rp175,000",Lunas,1,0
3,pengepul racer,1,"Rp175,000",Lunas,1,0
4,King Northland,1,"Rp175,000",Lunas,1,0
5,Xcool,1,"Rp175,000",Lunas,1,0
6,Gilang,1,"Rp175,000",Lunas,0,0
7,Superzen,1,"Rp175,000",Lunas,0,0
8,ICT Jos,1,"Rp175,000",Lunas,1,0
9,ICT Miniatur,1,"Rp175,000",Lunas,1,0
10,ICT Benji,1,"Rp175,000",Lunas,1,0
11,Mochi,1,"Rp175,000",Lunas,1,0
12,ajib,1,"Rp175,000",Lunas,1,0
13,Yoshi,1,"Rp175,000",Lunas,0,0
14,Wisenuff,1,"Rp175,000",Lunas,1,0
15,RacerNoe,1,"Rp175,000",Lunas,1,0
16,No. 18,1,"Rp175,000",Lunas,1,0
17,Dans,1,"Rp175,000",Lunas,1,0
18,GoChan,1,"Rp175,000",Lunas,1,0
19,Aye,1,"Rp175,000",Lunas,1,0
20,Uncle Warehouse,1,"Rp175,000",Lunas,1,0
21,PTMK-VEPRA,1,"Rp175,000",Lunas,0,0
22,egin,1,"Rp175,000",Lunas,0,0
23,The Papps_Papamiya,1,"Rp175,000",Lunas,0,0
24,The Papps_Kasetklasik,1,"Rp175,000",Lunas,0,0
25,The Papps_Slowdon,1,"Rp175,000",Lunas,1,0
26,Delta 12,1,"Rp175,000",Lunas,0,0
27,Oggnor,1,"Rp175,000",Lunas,1,0
28,ERL,1,"Rp175,000",Lunas,0,0
29,Jamur,1,"Rp175,000",Lunas,1,0
30,gajah super,1,"Rp175,000",Lunas,0,0
31,migo,1,"Rp175,000",Lunas,0,0
32,,,Rp0,Belum Lunas,0,0
33,,,Rp0,Belum Lunas,0,0
34,,,Rp0,Belum Lunas,0,0
35,,,Rp0,Belum Lunas,0,0
36,,,Rp0,Belum Lunas,0,0
37,,,Rp0,Belum Lunas,0,0
38,,,Rp0,Belum Lunas,0,0
39,,,Rp0,Belum Lunas,0,0
40,,,Rp0,Belum Lunas,0,0
41,,,Rp0,Belum Lunas,0,0
42,,,Rp0,Belum Lunas,0,0
43,Unyil,,Rp0,,1,0
44,Organic,,Rp0,,0,0
45,Ryu,,Rp0,,0,0
Total Presale,,,"Rp5,425,000",,21,
OTS (40 Runs),,"Rp200,000",,,,
1,,,Rp0,Belum Lunas,,0
2,,,Rp0,Belum Lunas,,0
3,,,Rp0,Belum Lunas,,0
4,,,Rp0,Belum Lunas,,0
5,,,Rp0,Belum Lunas,,0
6,,,Rp0,Belum Lunas,,0
7,,,Rp0,Belum Lunas,,0
8,,,Rp0,Belum Lunas,,0
9,,,Rp0,Belum Lunas,,0
10,,,Rp0,Belum Lunas,,0
11,,,Rp0,Belum Lunas,,0
12,,,Rp0,Belum Lunas,,0
13,,,Rp0,Belum Lunas,,0
14,,,Rp0,Belum Lunas,,0
15,,,Rp0,Belum Lunas,,0
Total OTS,,,Rp0,,,
Top Up (20 Runs),,"Rp80,000",,,,
1,,,Rp0,Belum Lunas,,
2,,,Rp0,Belum Lunas,,
3,,,Rp0,Belum Lunas,,
4,,,Rp0,Belum Lunas,,
5,,,Rp0,Belum Lunas,,
6,,,Rp0,Belum Lunas,,
7,,,Rp0,Belum Lunas,,
8,,,Rp0,Belum Lunas,,
9,,,Rp0,Belum Lunas,,
10,,,Rp0,Belum Lunas,,
Total Top Up,,,Rp0,,,
Total Keseluruhan,,,"Rp5,425,000",,,
